date,data,change,pct_change,id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,month_year
2006-01-01,1174.0,-65.0,-5.246,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,01-2006
2006-02-01,1061.0,-113.0,-9.625,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,02-2006
2006-03-01,1116.0,55.0,5.184,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,03-2006
2006-04-01,1123.0,7.0,0.627,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,04-2006
2006-05-01,1086.0,-37.0,-3.295,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,05-2006
2006-06-01,1074.0,-12.0,-1.105,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,06-2006
2006-07-01,965.0,-109.0,-10.149,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,07-2006
2006-08-01,1035.0,70.0,7.254,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,08-2006
2006-09-01,1016.0,-19.0,-1.836,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,09-2006
2006-10-01,941.0,-75.0,-7.382,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,10-2006
2006-11-01,1003.0,62.0,6.589,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,11-2006
2006-12-01,998.0,-5.0,-0.499,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,12-2006
2007-01-01,891.0,-107.0,-10.721,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,01-2007
2007-02-01,828.0,-63.0,-7.071,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,02-2007
2007-03-01,833.0,5.0,0.604,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,03-2007
2007-04-01,887.0,54.0,6.483,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,04-2007
2007-05-01,842.0,-45.0,-5.073,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,05-2007
2007-06-01,793.0,-49.0,-5.819,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,06-2007
2007-07-01,778.0,-15.0,-1.892,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,07-2007
2007-08-01,699.0,-79.0,-10.154,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,08-2007
2007-09-01,686.0,-13.0,-1.86,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,09-2007
2007-10-01,727.0,41.0,5.977,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,10-2007
2007-11-01,641.0,-86.0,-11.829,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,11-2007
2007-12-01,619.0,-22.0,-3.432,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,12-2007
2008-01-01,627.0,8.0,1.292,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,01-2008
2008-02-01,593.0,-34.0,-5.423,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,02-2008
2008-03-01,535.0,-58.0,-9.781,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,03-2008
2008-04-01,536.0,1.0,0.187,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,04-2008
2008-05-01,504.0,-32.0,-5.97,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,05-2008
2008-06-01,487.0,-17.0,-3.373,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,06-2008
2008-07-01,477.0,-10.0,-2.053,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,07-2008
2008-08-01,435.0,-42.0,-8.805,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,08-2008
2008-09-01,433.0,-2.0,-0.46,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,09-2008
