date,data,change,pct_change,id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity
05/2006,16.729,-0.4,-2.335,TOTALSA,2020-06-15,2020-06-15,Total Vehicle Sales,1976-01-01,2020-05-01,Monthly,M,Millions of Units,Mil. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-05 10:31:01-05,80
06/2006,16.901,0.172,1.028,TOTALSA,2020-06-15,2020-06-15,Total Vehicle Sales,1976-01-01,2020-05-01,Monthly,M,Millions of Units,Mil. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-05 10:31:01-05,80
07/2006,17.655,0.754,4.461,TOTALSA,2020-06-15,2020-06-15,Total Vehicle Sales,1976-01-01,2020-05-01,Monthly,M,Millions of Units,Mil. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-05 10:31:01-05,80
08/2006,16.459,-1.196,-6.774,TOTALSA,2020-06-15,2020-06-15,Total Vehicle Sales,1976-01-01,2020-05-01,Monthly,M,Millions of Units,Mil. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-05 10:31:01-05,80
09/2006,16.975,0.516,3.135,TOTALSA,2020-06-15,2020-06-15,Total Vehicle Sales,1976-01-01,2020-05-01,Monthly,M,Millions of Units,Mil. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-05 10:31:01-05,80
10/2006,16.866,-0.109,-0.642,TOTALSA,2020-06-15,2020-06-15,Total Vehicle Sales,1976-01-01,2020-05-01,Monthly,M,Millions of Units,Mil. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-05 10:31:01-05,80
11/2006,16.657,-0.209,-1.239,TOTALSA,2020-06-15,2020-06-15,Total Vehicle Sales,1976-01-01,2020-05-01,Monthly,M,Millions of Units,Mil. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-05 10:31:01-05,80
12/2006,17.107,0.45,2.702,TOTALSA,2020-06-15,2020-06-15,Total Vehicle Sales,1976-01-01,2020-05-01,Monthly,M,Millions of Units,Mil. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-05 10:31:01-05,80
01/2007,16.896,-0.211,-1.233,TOTALSA,2020-06-15,2020-06-15,Total Vehicle Sales,1976-01-01,2020-05-01,Monthly,M,Millions of Units,Mil. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-05 10:31:01-05,80
02/2007,17.169,0.273,1.616,TOTALSA,2020-06-15,2020-06-15,Total Vehicle Sales,1976-01-01,2020-05-01,Monthly,M,Millions of Units,Mil. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-05 10:31:01-05,80
03/2007,16.436,-0.733,-4.269,TOTALSA,2020-06-15,2020-06-15,Total Vehicle Sales,1976-01-01,2020-05-01,Monthly,M,Millions of Units,Mil. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-05 10:31:01-05,80
04/2007,16.617,0.181,1.101,TOTALSA,2020-06-15,2020-06-15,Total Vehicle Sales,1976-01-01,2020-05-01,Monthly,M,Millions of Units,Mil. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-05 10:31:01-05,80
05/2007,16.661,0.044,0.265,TOTALSA,2020-06-15,2020-06-15,Total Vehicle Sales,1976-01-01,2020-05-01,Monthly,M,Millions of Units,Mil. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-05 10:31:01-05,80
06/2007,16.179,-0.482,-2.893,TOTALSA,2020-06-15,2020-06-15,Total Vehicle Sales,1976-01-01,2020-05-01,Monthly,M,Millions of Units,Mil. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-05 10:31:01-05,80
07/2007,15.834,-0.345,-2.132,TOTALSA,2020-06-15,2020-06-15,Total Vehicle Sales,1976-01-01,2020-05-01,Monthly,M,Millions of Units,Mil. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-05 10:31:01-05,80
08/2007,16.38,0.546,3.448,TOTALSA,2020-06-15,2020-06-15,Total Vehicle Sales,1976-01-01,2020-05-01,Monthly,M,Millions of Units,Mil. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-05 10:31:01-05,80
09/2007,16.533,0.153,0.934,TOTALSA,2020-06-15,2020-06-15,Total Vehicle Sales,1976-01-01,2020-05-01,Monthly,M,Millions of Units,Mil. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-05 10:31:01-05,80
10/2007,16.456,-0.077,-0.466,TOTALSA,2020-06-15,2020-06-15,Total Vehicle Sales,1976-01-01,2020-05-01,Monthly,M,Millions of Units,Mil. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-05 10:31:01-05,80
11/2007,16.354,-0.102,-0.62,TOTALSA,2020-06-15,2020-06-15,Total Vehicle Sales,1976-01-01,2020-05-01,Monthly,M,Millions of Units,Mil. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-05 10:31:01-05,80
12/2007,16.03,-0.324,-1.981,TOTALSA,2020-06-15,2020-06-15,Total Vehicle Sales,1976-01-01,2020-05-01,Monthly,M,Millions of Units,Mil. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-05 10:31:01-05,80
01/2008,15.706,-0.324,-2.021,TOTALSA,2020-06-15,2020-06-15,Total Vehicle Sales,1976-01-01,2020-05-01,Monthly,M,Millions of Units,Mil. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-05 10:31:01-05,80
