date,data,change,pct_change,id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes
02/2006,113917.747,285.096,0.251,NPPTTL,2020-06-15,2020-06-15,Total Nonfarm Private Payroll Employment,2002-04-01,2020-05-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted,SA,2020-06-03 07:26:01-05,63,"Copyright, 2016, Automatic Data Processing, Inc. (""ADP"")."
03/2006,114144.0,226.253,0.199,NPPTTL,2020-06-15,2020-06-15,Total Nonfarm Private Payroll Employment,2002-04-01,2020-05-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted,SA,2020-06-03 07:26:01-05,63,"Copyright, 2016, Automatic Data Processing, Inc. (""ADP"")."
04/2006,114328.575,184.575,0.162,NPPTTL,2020-06-15,2020-06-15,Total Nonfarm Private Payroll Employment,2002-04-01,2020-05-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted,SA,2020-06-03 07:26:01-05,63,"Copyright, 2016, Automatic Data Processing, Inc. (""ADP"")."
05/2006,114439.041,110.466,0.097,NPPTTL,2020-06-15,2020-06-15,Total Nonfarm Private Payroll Employment,2002-04-01,2020-05-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted,SA,2020-06-03 07:26:01-05,63,"Copyright, 2016, Automatic Data Processing, Inc. (""ADP"")."
06/2006,114614.559,175.518,0.153,NPPTTL,2020-06-15,2020-06-15,Total Nonfarm Private Payroll Employment,2002-04-01,2020-05-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted,SA,2020-06-03 07:26:01-05,63,"Copyright, 2016, Automatic Data Processing, Inc. (""ADP"")."
07/2006,114745.023,130.464,0.114,NPPTTL,2020-06-15,2020-06-15,Total Nonfarm Private Payroll Employment,2002-04-01,2020-05-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted,SA,2020-06-03 07:26:01-05,63,"Copyright, 2016, Automatic Data Processing, Inc. (""ADP"")."
08/2006,114863.49,118.467,0.103,NPPTTL,2020-06-15,2020-06-15,Total Nonfarm Private Payroll Employment,2002-04-01,2020-05-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted,SA,2020-06-03 07:26:01-05,63,"Copyright, 2016, Automatic Data Processing, Inc. (""ADP"")."
09/2006,114960.127,96.637,0.084,NPPTTL,2020-06-15,2020-06-15,Total Nonfarm Private Payroll Employment,2002-04-01,2020-05-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted,SA,2020-06-03 07:26:01-05,63,"Copyright, 2016, Automatic Data Processing, Inc. (""ADP"")."
10/2006,115090.428,130.301,0.113,NPPTTL,2020-06-15,2020-06-15,Total Nonfarm Private Payroll Employment,2002-04-01,2020-05-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted,SA,2020-06-03 07:26:01-05,63,"Copyright, 2016, Automatic Data Processing, Inc. (""ADP"")."
11/2006,115220.972,130.544,0.113,NPPTTL,2020-06-15,2020-06-15,Total Nonfarm Private Payroll Employment,2002-04-01,2020-05-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted,SA,2020-06-03 07:26:01-05,63,"Copyright, 2016, Automatic Data Processing, Inc. (""ADP"")."
