" Date","NFP_TCH Close","NFP_TCH Adj. Close"
02-29-2008,"-84.00 ","-84.00 "
01-31-2008,"17.00 ","17.00 "
12-31-2007,"98.00 ","98.00 "
11-30-2007,"114.00 ","114.00 "
10-31-2007,"84.00 ","84.00 "
09-30-2007,"88.00 ","88.00 "
08-31-2007,"-20.00 ","-20.00 "
07-31-2007,"-34.00 ","-34.00 "
06-30-2007,"75.00 ","75.00 "
05-31-2007,"143.00 ","143.00 "
04-30-2007,"80.00 ","80.00 "
03-31-2007,"190.00 ","190.00 "
02-28-2007,"89.00 ","89.00 "
01-31-2007,"240.00 ","240.00 "
12-31-2006,"171.00 ","171.00 "
11-30-2006,"209.00 ","209.00 "
10-31-2006,"8.00 ","8.00 "
09-30-2006,"153.00 ","153.00 "
08-31-2006,"183.00 ","183.00 "
07-31-2006,"206.00 ","206.00 "
06-30-2006,"79.00 ","79.00 "
05-31-2006,"25.00 ","25.00 "
04-30-2006,"183.00 ","183.00 "
03-31-2006,"282.00 ","282.00 "
02-28-2006,"315.00 ","315.00 "
01-31-2006,"278.00 ","278.00 "
12-31-2005,"157.00 ","157.00 "
11-30-2005,"341.00 ","341.00 "
10-31-2005,"84.00 ","84.00 "
09-30-2005,"67.00 ","67.00 "
08-31-2005,"196.00 ","196.00 "
07-31-2005,"374.00 ","374.00 "
06-30-2005,"245.00 ","245.00 "
05-31-2005,"177.00 ","177.00 "
04-30-2005,"364.00 ","364.00 "
03-31-2005,"135.00 ","135.00 "
02-28-2005,"239.00 ","239.00 "
01-31-2005,"136.00 ","136.00 "
12-31-2004,"129.00 ","129.00 "
11-30-2004,"66.00 ","66.00 "
10-31-2004,"346.00 ","346.00 "
09-30-2004,"162.00 ","162.00 "
08-31-2004,"119.00 ","119.00 "
07-31-2004,"45.00 ","45.00 "
06-30-2004,"77.00 ","77.00 "
05-31-2004,"307.00 ","307.00 "
04-30-2004,"251.00 ","251.00 "
03-31-2004,"331.00 ","331.00 "
02-29-2004,"48.00 ","48.00 "
01-31-2004,"159.00 ","159.00 "
12-31-2003,"123.00 ","123.00 "
11-30-2003,"11.00 ","11.00 "
10-31-2003,"203.00 ","203.00 "
09-30-2003,"104.00 ","104.00 "
08-31-2003,"-41.00 ","-41.00 "
07-31-2003,"22.00 ","22.00 "
06-30-2003,"10.00 ","10.00 "
05-31-2003,"-7.00 ","-7.00 "
04-30-2003,"-44.00 ","-44.00 "
03-31-2003,"-209.00 ","-209.00 "
02-28-2003,"-149.00 ","-149.00 "
01-31-2003,"92.00 ","92.00 "
12-31-2002,"-158.00 ","-158.00 "
11-30-2002,"13.00 ","13.00 "
10-31-2002,"122.00 ","122.00 "
09-30-2002,"-60.00 ","-60.00 "
08-31-2002,"-14.00 ","-14.00 "
07-31-2002,"-84.00 ","-84.00 "
06-30-2002,"56.00 ","56.00 "
05-31-2002,"-5.00 ","-5.00 "
04-30-2002,"-78.00 ","-78.00 "
03-31-2002,"-21.00 ","-21.00 "
02-28-2002,"-136.00 ","-136.00 "
01-31-2002,"-135.00 ","-135.00 "
12-31-2001,"-172.00 ","-172.00 "
11-30-2001,"-291.00 ","-291.00 "
10-31-2001,"-327.00 ","-327.00 "
09-30-2001,"-241.00 ","-241.00 "
08-31-2001,"-156.00 ","-156.00 "
07-31-2001,"-111.00 ","-111.00 "
06-30-2001,"-130.00 ","-130.00 "
05-31-2001,"-39.00 ","-39.00 "
04-30-2001,"-280.00 ","-280.00 "
03-31-2001,"-27.00 ","-27.00 "
02-28-2001,"72.00 ","72.00 "
01-31-2001,"-25.00 ","-25.00 "
12-31-2000,"142.00 ","142.00 "
11-30-2000,"228.00 ","228.00 "
10-31-2000,"-14.00 ","-14.00 "
09-30-2000,"135.00 ","135.00 "
08-31-2000,"-13.00 ","-13.00 "
07-31-2000,"176.00 ","176.00 "
06-30-2000,"-44.00 ","-44.00 "
05-31-2000,"226.00 ","226.00 "
04-30-2000,"287.00 ","287.00 "
